	coef	exp(coef)	se(coef)	z	Pr(>|z|)
molecular_subtypeGNG, MYB/MYBL1	-15.6370313183645	1.61779535852568e-07	4204.11373807785	-0.00371945962753944	0.997032307431356
molecular_subtypeGNG, other MAPK	-15.6584748713993	1.58347338564633e-07	2381.96672446197	-0.00657375886513955	0.99475493707205
molecular_subtypeGNG, To be classified	-15.9750398852757	1.15379414198988e-07	2874.16865141887	-0.00555814283110681	0.995565266482003
molecular_subtypeGNG, wildtype	0.103651689726982	1.10921403697876	0.710492172423683	0.145887166319366	0.884010462986508
molecular_subtypeGNT, KIAA1549-BRAF	1.07592207610205	2.93269582292504	1.16568837572882	0.922992884294107	0.356010913449132
molecular_subtypeGNT, other MAPK	1.12260287994812	3.07284204202552	1.16583698118878	0.962915826193321	0.335589766682554
molecular_subtypeGNT, wildtype	1.22491769643139	3.40388591930345	1.15949958860578	1.05641925919462	0.290776710883098
molecular_subtypeLGG_CDKN2A/B	0.444181198451249	1.55921298700515	0.710106826756507	0.625513206907327	0.531634283174528
molecular_subtypeLGG_IDH	0.44964351295844	1.56775320216	0.818436749067197	0.549393112504925	0.582735699703879
molecular_subtypeLGG_NF1	0.551306568573428	1.73551911187157	0.645467074561028	0.854120357646999	0.393038305257585
molecular_subtypeLGG_RTK	0.48987135084815	1.63210623736546	0.619850189038858	0.79030604412293	0.429349057853588
molecular_subtypeLGG, BRAF V600E	0.608989414837839	1.83857242560162	0.632637466834046	0.962619899648766	0.33573830737314
molecular_subtypeLGG, H3, other MAPK	0.825097783450345	2.28210390641339	1.16485166421015	0.708328629988966	0.478741201827698
molecular_subtypeLGG, KIAA1549-BRAF	0.126340389620026	1.1346683318786	0.600765928064584	0.210298859702383	0.833434425215268
molecular_subtypeLGG, KIAA1549-BRAF, other MAPK	0.494227961598963	1.63923220019785	1.15874153000875	0.426521315409513	0.669728019416289
molecular_subtypeLGG, MYB/MYBL1	-0.314694980279262	0.730011508219831	1.15831729127642	-0.271682882271816	0.785865864361709
molecular_subtypeLGG, other MAPK	0.334608538478779	1.39739325245039	0.697067270611226	0.480023309924416	0.631210818252438
molecular_subtypeLGG, To be classified	0.226091259490686	1.25369007117517	1.1612779434814	0.194691771043963	0.845634254397576
molecular_subtypeLGG, wildtype	0.228821365396046	1.25711745427257	0.626416963150624	0.365286029684074	0.71489790567025
molecular_subtypeSEGA, wildtype	-0.641070788921244	0.526728107343082	0.919904085989469	-0.696888728602281	0.485872432141343
tis_score_groupLow	-0.328801612964136	0.719785798754629	0.17171595913252	-1.91479938513105	0.0555180929345511
