	coef	exp(coef)	se(coef)	z	Pr(>|z|)
molecular_subtypeGNG, MYB/MYBL1	-0.886657302492807	0.412030747528885	94349.1684481096	-9.39761650342953e-06	0.999992501786884
molecular_subtypeGNG, other MAPK	-0.496088791176287	0.608907573052889	42293.7859425398	-1.17295905325258e-05	0.99999064114081
molecular_subtypeGNG, To be classified	0.0639878009821347	1.06607939356061	46860.052537492	1.36550851988352e-06	0.999998910481834
molecular_subtypeGNG, wildtype	-0.170023151087701	0.843645285064313	21964.4450994617	-7.74083525979304e-06	0.999993823707059
molecular_subtypeGNT, KIAA1549-BRAF	0.0947195059064851	1.09935045056721	47516.5156870582	1.99340175803933e-06	0.999998409495514
molecular_subtypeGNT, other MAPK	-0.470698875989985	0.624565621802355	117587.662545114	-4.00296141450551e-06	0.99999680609889
molecular_subtypeGNT, wildtype	-0.936478019862872	0.392006044423491	88759.8585730969	-1.05506930150373e-05	0.999991581764938
molecular_subtypeLGG_CDKN2A/B	18.762264375349	140717427.23349	16513.6376712419	0.00113616786009682	0.999093469400985
molecular_subtypeLGG_IDH	-0.0714795235595171	0.931015341279907	30136.6279975203	-2.3718487537955e-06	0.999998107538499
molecular_subtypeLGG_NF1	19.0540108388931	188387362.32327	16513.6376540987	0.00115383486291791	0.999079373181439
molecular_subtypeLGG_RTK	19.1198332138437	201204671.44618	16513.637643748	0.00115782080401179	0.999076192862704
molecular_subtypeLGG, BRAF V600E	-0.0847354608761628	0.918755298978421	19165.4477009416	-4.42126175179302e-06	0.999996472343509
molecular_subtypeLGG, H3, other MAPK	22.2416915904438	4565033048.21112	16513.6376797822	0.00134686808695546	0.998925355072891
molecular_subtypeLGG, KIAA1549-BRAF	17.0785980989573	26130090.4481183	16513.6376665212	0.00103421174933379	0.999174818559707
molecular_subtypeLGG, KIAA1549-BRAF, other MAPK	-0.938776733773704	0.391105969579666	69924.6086603178	-1.34255557772819e-05	0.999989287956325
molecular_subtypeLGG, MYB/MYBL1	0.199757506413008	1.22110661173244	25312.9491173861	7.89151455591579e-06	0.999993703482375
molecular_subtypeLGG, other MAPK	19.2970583758593	240218233.85348	16513.6376688011	0.00116855285085471	0.999067629934015
molecular_subtypeLGG, To be classified	22.1152586874451	4022859026.61753	16513.6376775622	0.00133921181506205	0.998931463888518
molecular_subtypeLGG, wildtype	18.0752386777504	70790734.2376871	16513.6376666691	0.00109456432571687	0.999126664198091
molecular_subtypeSEGA, wildtype	20.0073489561783	488743786.51894	16513.6376746209	0.00121156521357658	0.99903331105818
tis_score_groupLow	0.426017344441583	1.53114733179839	0.658479207359456	0.646971597098623	0.517650326077058
