	coef	exp(coef)	se(coef)	z	Pr(>|z|)
age_at_diagnosis_days	-0.000183726679273078	0.99981629019744	0.000160000765992959	-1.14828624808686	0.250850414281616
reported_genderMale	-1.18733741839234	0.305032357330894	0.590325298046491	-2.01132735175248	0.0442908912793622
raceAsian	-2.47785018291991	0.0839234518662639	4483.31328395334	-0.000552682809784591	0.999559022941502
raceBlack or African American	13.7829696229709	967982.824649773	1.07041343929897	12.8763047220311	6.1196121007754e-38
raceMore Than One Race	0.897818718160229	2.45424387068943	2678.65365537352	0.000335175365564397	0.999732568755662
raceNative Hawaiian or Other Pacific Islander	0	1	0	NA	NA
raceReported Unknown	15.8080524965315	7334153.05424231	0.618716292675759	25.5497595322187	5.5245510907568e-144
raceWhite	11.7202721296915	123040.903726214	0.667162950016773	17.567330633988	4.38316827717407e-69
CNS_regionMidline	3.87780529448558	48.318054717466	0.79956584027987	4.8498886509812	1.23530800658998e-06
CNS_regionMixed	2.88051993764271	17.8235378991454	0.579851147561946	4.96768860379808	6.77556486378762e-07
CNS_regionOptic pathway	-13.7538185945605	1.06363465586156e-06	3667.28353942003	-0.00375041047323426	0.997007612401679
CNS_regionOther	-16.2842758788194	8.46893586614425e-08	9275.57595899141	-0.00175560805612659	0.998599228156763
CNS_regionPosterior fossa	-0.67299999918872	0.510175752854716	1.1453571095643	-0.587589664017308	0.556807750380478
CNS_regionSpine	-11.109595394236	1.4968008602957e-05	3073.1608487501	-0.00361503869826874	0.997115622718364
CNS_regionSuprasellar	3.70689353369344	40.7270924718914	0.790581964627716	4.68881621330561	2.74790041152716e-06
CNS_regionVentricles	1.86204542708993	6.43688950353162	1.05331049319173	1.76780297844331	0.0770938468296586
molecular_subtypeGNG, MYB/MYBL1	-0.992453019007283	0.370666323367382	107495.753691172	-9.23248579528577e-06	0.999992633542126
molecular_subtypeGNG, other MAPK	2.1660810543644	8.72402796940706	7708.64769056463	0.000280993650418824	0.999775799507598
molecular_subtypeGNG, To be classified	-4.84379337455952	0.00787711645207695	13471.9219363501	-0.00035954731607299	0.999713122753808
molecular_subtypeGNG, wildtype	0.140117744190001	1.15040924488779	621.628077151176	0.000225404465049486	0.999820153258924
molecular_subtypeGNT, KIAA1549-BRAF	-2.5932160032119	0.0747791629339117	14172.704086473	-0.00018297256383748	0.999854009017078
molecular_subtypeGNT, other MAPK	11.4043574714979	89711.7894582445	165040.57741179	6.91003246010408e-05	0.999944865917898
molecular_subtypeGNT, wildtype	0.357399212894367	1.42960647328818	86373.3312277052	4.1378421766802e-06	0.999996698479612
molecular_subtypeLGG_CDKN2A/B	13.8690134983195	1054960.09372042	1.0740036651376	12.9133763212462	3.78340734372712e-38
molecular_subtypeLGG_IDH	0.772565824727273	2.16531495089199	842.899697755221	0.000916557244930496	0.99926869322757
molecular_subtypeLGG_NF1	13.4850927596201	718623.431023788	0.853697698943318	15.7960982866787	3.30978086691848e-56
molecular_subtypeLGG_RTK	13.5873973292982	796034.120850731	0.619609204044706	21.9289791704221	1.37477068934421e-106
molecular_subtypeLGG, BRAF V600E	-0.0381094942801727	0.962607535101495	268.131621822382	-0.000142129801853127	0.999886596825853
molecular_subtypeLGG, H3, other MAPK	14.0011668710384	1204008.38731898	1.0771679079478	12.9981284883553	1.25373984489803e-38
molecular_subtypeLGG, KIAA1549-BRAF	8.80438533199694	6663.40125417296	1.09771450420168	8.02065136089278	1.05185883934386e-15
molecular_subtypeLGG, KIAA1549-BRAF, other MAPK	-6.54071290460654	0.00144345908349663	26708.9718455374	-0.000244888232404924	0.999804607462195
molecular_subtypeLGG, MYB/MYBL1	-3.88567886392377	0.0205338843154987	2373.36584331621	-0.00163720181398349	0.998693702533277
molecular_subtypeLGG, other MAPK	15.2323277351536	4123973.65199073	1.05584195864499	14.4267118865989	3.51440525492288e-47
molecular_subtypeLGG, To be classified	19.1325319770993	203776013.814631	1.08651643267804	17.6090590088375	2.09905575143717e-69
molecular_subtypeLGG, wildtype	13.4331290261904	682234.709324998	1.07142577374903	12.5376198289374	4.64745279749274e-36
molecular_subtypeSEGA, wildtype	13.1215555365848	499596.242698022	1.05458580539069	12.4423782963054	1.53853633643962e-35
clusterID2	-1.76835771766035	0.170612953512423	0.600132331280272	-2.94661298098686	0.00321275029164649
clusterID3	-2.37294774037095	0.093205575103652	0.796877979779924	-2.97780563722728	0.00290320024593803
