pathways	coefficients
REACTOME_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE	-4.63747004849455
REACTOME_FREE_FATTY_ACIDS_REGULATE_INSULIN_SECRETION	-4.2645225796426
molecular_subtypeGNG_KIAA1549_BRAF	-4.13897895949657
REACTOME_SIGNAL_AMPLIFICATION	-4.09055568016232
REACTOME_CD209_DC_SIGN_SIGNALING	-3.19927833526087
REACTOME_MISMATCH_REPAIR	-2.82025482889984
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	-2.70976786888443
REACTOME_RECYCLING_PATHWAY_OF_L1	-2.55781841631242
REACTOME_PI_3K_CASCADE_FGFR1	-2.43804514081749
REACTOME_TNF_RECEPTOR_SUPERFAMILY_TNFSF_MEMBERS_MEDIATING_NON_CANONICAL_NF_KB_PATHWAY	-2.13632408531094
REACTOME_INTERACTION_BETWEEN_L1_AND_ANKYRINS	-1.96373221909381
REACTOME_METABOLISM_OF_STEROIDS	-1.59782917131142
REACTOME_SIGNAL_TRANSDUCTION_BY_L1	-1.53468343811996
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX	-1.3912571191969
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS	-1.36592353210916
REACTOME_SIALIC_ACID_METABOLISM	-1.33956995516607
REACTOME_AFLATOXIN_ACTIVATION_AND_DETOXIFICATION	-1.33265122141242
REACTOME_ATTENUATION_PHASE	-1.23245702540901
REACTOME_UREA_CYCLE	-1.18253047385333
REACTOME_ATF6_ATF6_ALPHA_ACTIVATES_CHAPERONES	-1.17211091392006
REACTOME_CELL_CYCLE_CHECKPOINTS	-0.972271626412865
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	-0.860197557943866
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	-0.84490891374739
REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_CELL_CYCLE_GENES	-0.786591949596473
REACTOME_MAP3K8_TPL2_DEPENDENT_MAPK1_3_ACTIVATION	-0.714630314068519
molecular_subtypeLGG_KIAA1549_BRAF	-0.687209713172034
REACTOME_CYCLIN_A_B1_B2_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION	-0.660607321406486
REACTOME_ZBP1_DAI_MEDIATED_INDUCTION_OF_TYPE_I_IFNS	-0.627052254099784
REACTOME_REVERSIBLE_HYDRATION_OF_CARBON_DIOXIDE	-0.625966165540622
